Supplier Name,Country Code,Match1,Score1,Match2,Score2,Match3,Score3,Match4,Score4,Match5,Score5
QAI CERTIFICATION,SG-BMSL-A0000860,Smert Battalion,50,Somali Battalion,48,Sparta Battalion,48,Kalmius Battalion,47,Russian National Commercial Bank,45
LO YUNG MOTOR REPAIRING,HK-NML-A0002001,558 Aircraft Repair Plant,42,Donetsk Republic,41,Mostotrest P,40,Peace To Luhansk Region,39,So called Lugansk People s Republic,38
Clay Consulting,GRP-IMS-1002901,Luhansk Economic Union,49,Concern Almaz Antey,47,Luganskaya Narodnaya Respublika LNR,44,Mir Luganschine,40,Army of the Southeast,39
Work Life Farringdon,GRP-IMS-1002902,Prizrak Brigade,46,Somali Battalion,44,Prizrak Battalion Ghost Brigade,43,The Great Don Army,42,Azovsky likerovodochny zavod,42
LOCKER LOCK,SG-BMSL-A0000862,Concern Almaz Antey,40,Smert Battalion,38,Oplot Battalion,38,Sovkombank,38,Donetsk Republic,37
PUBLICIS WORLDWIDE HONG KONG,HK-BML-A0002002,VTB Bank Public,47,So called Donetsk People s Republic,44,Donetsk Republic,41,Bank Otkritie Financial,39,Sberbank Public Sberbank,38
CJ PLUS INSURANCE AGENCY,HK-CML-A0001326,First Crimean Insurance,55,Gas Industry Insurance Company SOGAZ,53,Internet Research Agency,50,CB IS Bank,41,Bank Otkritie Financial,38
JACKEL PORTER WATER,HK-IHKL-A0002003,Concern Almaz Antey,42,Internet Research Agency,42,Prizrak Brigade,41,Army of the Southeast,40,Sparta Battalion,40
SHUN CHIAP MOTOR SERVICE,HK-CML-A0002004,State enterprise Universal Avia,44,Federal United Enterprise Crimea Railway,38,Institute Giprostroymost Saint Petersburg,37,So called Donetsk People s Republic,37,So called Lugansk People s Republic,37
Dartmouth Partners Limtied,GRP-IMS-1002904,Sparta Battalion,48,Donbas People s Militia,45,Death Battalion,44,Donbass People s Militia,44,Army of the Southeast,43
SmartFleet Management,AU-SUB-803116,Russian Direct Investment Fund,47,Almaz Antey Defense,40,Internet Research Agency,40,Smert Battalion,39,Sparkling Wine Plant Novy Svet,39
Suttons Subaru Arncliffe,AU-SUB-122124,Donetsk Republic,40,Prizrak Battalion Ghost Battalion,39,Aktsionernoe Obshchestvo Genbank,39,Peace To Luhansk Region,38,Sberbank Public Sberbank,38
NSW Business Chamber,AU-IAL-803125,CB IS Bank,47,Mir Luganschine,46,ROSNEFT AERO,44,Sberbank of Russia,42,Industrialny Sberegatelny Bank,40
K C CHIN,NZ-SNZ-801643,Mir Luganschine,43,Luhansk Economic Union,40,People s Union,36,Bank of Russia,36,O VO Technopromexport,34
YAFFA PUBLISHING GROUP,AU-SUB-801444,Stroygazmontazh Corporation SGM Group,47,GEOPOLITICA,42,Zaliv Shipyard,39,Luganskaya Narodnaya Respublika LNR,39,Sberbank Public Sberbank,39
LINK PLATE,SG-BMSL-A0000863,Oplot Battalion,56,Sparta Battalion,54,Death Battalion,48,VTB Bank Public,48,Sparkling Wine Plant Novy Svet,45
S S IT Solutions,GRP-IMS-1002912,Army of the Southeast,49,Army of the South East,47,People s Union,47,Smert Battalion,45,Somali Battalion,44
ASIA WINE NETWORK,SG-BMSL-A0000867,Sparkling Wine Plant Novy Svet,47,Industrial Savings Bank,45,Concern Almaz Antey,44,Russia Bank,43,IS Bank,42
Victorian Chamber of Commerce and I,AU-SUB-803112,Russian National Commercial Bank,54,Gas Industry Insurance Company SOGAZ,42,Federal State of Novorossiya,41,Black Sea Bank of Development and Reconstruction,41,25 January Committee,40
BCP INDUSTRY,BE-RTL-1000197,Industrial Savings Bank,51,Industrialny Sberegatelny Bank,48,Gas Industry Insurance Company SOGAZ,46,CB IS Bank,45,IS Bank,42
LYRECO AHREND OFFICE PRODUCT,BE-RTL-1000436,Fedosia Oil Products Supply,51,Resort Nizhnyaya Oreanda,42,Luganskiy Ekonomicheskiy Soyuz,41,Foreign Economic Association Technopromexport,41,Research and Production Corporation UralVagonZavod,41
DELL,BE-RTL-1000449,ZELENODOLSK SHYARD,36,Dobrolet,33,Integral,33,Death Battalion,32,Dobrolyot,31
LYRECO BELGIUM NVSA,BE-AP-301130,Oplot Battalion,41,Black Sea Bank Development and Reconstruction,38,Russian Direct Investment Fund,37,Federativnoye Gosudarstvo Novorossiya,36,Black Sea Bank of Development and Reconstruction,36
SS CONTRACT SERVICES,SG-BMSL-A0000869,Mostotrest Mostotrest,49,ORIENTAL REVIEW,46,Internet Research Agency,45,Z Interautomatica,43,Tactical Missiles,43
DJS AUTO HARDWARE,SG-BMSL-A0000871,Sparta Battalion,48,Zarya Battalion,44,Battalion Gvardeysky,43,Z Interautomatica,41,Peace To Luhansk Region,40
SUN PACIFIC EQUMENTS,SG-BMSL-A0000870,First Crimean Insurance,47,Peace To Luhansk Region,42,Sberbank Public Sberbank,41,United Aircraft,40,Russian Direct Investment Fund,40
Ares Solutions,GRP-IMS-1002916,Army of the Southeast,51,Army of the South East,50,People s Union,50,Free Donbas,48,Zarya Battalion,48
PROTECH PROPERTY MANAGEMENT,HK-BML-A0002005,Internet Research Agency,51,VO Technopromexport,48,O VO Technopromexport,46,Lenpromtransproyekt,43,Research and Production Corporation UralVagonZavod,42
TOYOTA MOTOR EUROPE P A,BE-TOYO-100000,Mostotrest Mostotrest,45,VAD Aktsionernoe Obshchestvo VAD,44,Stroygazmontazh Corporation SGM Group,43,Stroygazmontazh Most SGM MOST,42,O VO Technopromexport,41
KBC AUTOLEASE,BE-AP-300614,Army of the Southeast,41,Mostotrest P,40,Z Interautomatica,40,Aktsionernoe Obshchestvo Genbank,40,NEW EASTERN OUTLK,40
MANET GARDEN,BE-AP-302943,Genbank,53,Almaz Antey Defense,52,Battalion Gvardeysky,50,ROSNEFT AERO,50,NEW EASTERN OUTLK,48
BISNODE BELGIUM,BE-TOYO-300617,Death Battalion,40,Smert Battalion,40,CB IS Bank,40,Vostok Battalion,39,Kalmius Battalion,38
PROMOCENTER,BE-TOYO-300636,ROSNEFT AERO,52,Chernomorneftegaz,50,Lenpromtransproyekt,47,Rostec,47,Dobrolet,42
W O BELGIUM NVSA,BE-TOYO-303222,Federal State of Novorossiya,45,Vostok Battalion,44,Oplot Battalion,39,Movement Novorossiya of Igor Strelkov,38,Somali Battalion,38
WDP,BE-TOYO-303244,TPE,33,RDIF,29,VO TPE,22,Prizrak Brigade,22,Donetsk Republic,21
TME BELGIUM,BE-TOYO-300680,Smert Battalion,46,United Shipbuilding,40,Death Battalion,38,Oplot Battalion,38,VTB Bank Public,38
MIC,BE-TOYO-303253,UAC,33.333333333333336,USC,33.333333333333336,Mir Luganschine,33,Z Interautomatica,30,Tactical Missiles,30
WOLTERS KLUWER,BE-TOYO-303275,People s Union,43,Rostec,40,NEW EASTERN OUTLK,39,So called Luhansk Guard,38,So called Lugansk Guard,38
AVIS BELGIUM,BE-TOYO-300759,Kalmius Battalion,48,Somali Battalion,43,Vostok Battalion,43,IS Bank,42,Death Battalion,37
ERIC FEYEN,BE-TOYO-303286,RDIF,43,Sberbank Public Sberbank,41,Free Donbas,38,Russia Bank,38,VEB RF,38
AIB VINCOTTE INTERNATIONAL,BE-TOYO-303394,Industrial Savings Bank,53,Bank Otkritie Financial,53,Russian National Commercial Bank,52,Z Interavtomatika IA,52,International Union of Public Associations Great Don Army,48
LBI BELGIUM NVSA,BE-TOYO-300792,Somali Battalion,44,Kalmius Battalion,42,Oplot Battalion,39,Sparkling Wine Plant Novy Svet,39,Sparta Battalion,38
HUDSON BELGIUM,BE-TOYO-303452,Donetsk Republic,47,Sobol,42,Somali Battalion,40,The Great Don Army,38,Donbas People s Militia,38
A M S,BE-TOYO-303460,CB IS Bank,53,IS Bank,50,Bank of Russia,42,Russia Bank,38,Kalmius Battalion,36
BOELS VERHUUR,BE-TOYO-300815,ORIENTAL REVIEW,43,ROSNEFT AERO,40,O VO TPE,38,People s Union,37,Smert Battalion,36
L HUITRIERE EOLE NVSA,BE-TOYO-303506,People s Union,46,Federal State of Novorossiya,45,Internet Research Agency,44,GEOPOLITICA,44,VAD Aktsionernoe Obshchestvo VAD,42
LEASE PLAN MANAGEMENT,BE-TOYO-300851,NEW EASTERN OUTLK,47,Sparkling Wine Plant Novy Svet,43,Peace To Luhansk Region,41,Concern Almaz Antey,40,Russian Direct Investment Fund,39
LHOMME TLS FASTENERS,BE-TOYO-305322,NEW EASTERN OUTLK,54,Russian National Commercial Bank,42,Donbass People s Militia,41,Almaz Antey Defense,41,VO Technopromexport,41
AUTOVAK,BE-TOYO-303507,SOVCOMBANK,47,Sovkombank,47,Interavtomatika,45,Battalion Gvardeysky,44,Z Interautomatica,42
ROBERT HALF SPRL BVBA,BE-TOYO-300924,Sparta Battalion,49,Fedosia Oil Products Supply,46,Smert Battalion,44,Resort Nizhnyaya Oreanda,44,Sberbank Public Sberbank,44
AMAZE EUROPE,BE-TOYO-305329,Almaz Antey Defense,52,Concern Almaz Antey,52,Almaz Antey,43,ROSNEFT AERO,42,O VO TPE,40
LAMBRECHTS NUMMER 1 IN BANDEN,BE-AP-303534,Internet Research Agency,42,Sparkling Wine Plant Novy Svet,41,Industrialny Sberegatelny Bank,41,Russian National Commercial Bank,39,Black Sea Bank of Development and Reconstruction,39
REPROBEL,BE-TOYO-300941,Sobol,46,Rostec,43,VEB RF,43,Donetsk Republic,42,Free Donbas,42
FLASH,BE-TOYO-303568,Mir Luganschine,40,Free Donbas,38,Free Donbass,35,Bulwark,33,IS Bank,33
FEBELAUTO,BE-TOYO-305343,Free Donbas,40,VEB RF,40,Federal State of Novorossiya,38,Free Donbass,38,Bulwark,38
TELENET,BE-TOYO-305345,NEW EASTERN OUTLK,42,ROSNEFT AERO,42,Dobrolet,40,TPE,40,Integral,40
THE TALENT GALLERY,BE-TOYO-303722,Army of the Southeast,56,The Great Don Army,56,Battalion Gvardeysky,53,Army of the South East,50,Almaz Antey,48
CARGLASS,BE-TOYO-300989,So called Luhansk Guard,45,So called Lugansk Guard,45,Russia Bank,42,Free Donbass,40,Bank Rossiya,40
UNITED PIXELS,BE-TOYO-303733,United Shipbuilding,62,People s Union,59,United Aircraft,57,Unit 08806,43,ORIENTAL REVIEW,43
SHARPDEV,BE-TOYO-305390,Zaliv Shipyard,55,ZELENODOLSK SHYARD,46,VO TPE,43,558 ARP,40,O VO TPE,38
ZENITH AUTOMOTIVE NVSA,BE-TOYO-305398,Z Interautomatica,51,Z Interavtomatika IA,48,Death Battalion,43,Interavtomatika,43,Luhansk Economic Union,41
LEASEPLAN PARTNERSHS ALLIANCES,BE-TOYO-301034,558 Aircraft Repair Plant,44,Sparta Battalion,43,Sparkling Wine Plant Novy Svet,43,Russian National Commercial Bank,42,Separate Artillery Brigade of the 1st Army Corps,41
NUMBER ONE SPRL BVBA,BE-TOYO-303738,Internet Research Agency,45,Sparta Battalion,44,ROSNEFT AERO,44,State enterprise Universal Avia,43,Donbas People s Militia,42
FOST PLUS ASBL,BE-TOYO-303817,Fedosia Oil Products Supply,49,Donetsk Republic,47,Mostotrest P,46,Donbas People s Militia,43,Bank of Russia,43
DOBIT SOLUTIONS,BE-TOYO-305408,Dobrolet,52,Svobodny Donbass,52,Dobrolyot,50,People s Union,48,Death Battalion,47
EFFECTIVE MEDIA,BE-TOYO-301077,Russian Direct Investment Fund,44,Mir Luganschine,40,State enterprise Universal Avia,39,Federativnoye Gosudarstvo Novorossiya,38,Free Donbas,38
J MAES,BE-AP-303853,Mostotrest,38,Free Donbas,35,Almaz Antey,35,Tactical Missiles,35,Donbas People s Militia,34
GOVEX,BE-TOYO-305416,O VO TPE,46,VO TPE,36,Rostec,36,VEB RF,36,Genbank,33
L EVEIL DES 5 SENS,BE-TOYO-303905,Almaz Antey Defense,49,Donbas People s Militia,44,Industrial Savings Bank,44,Donbass People s Militia,43,Free Donbass,40
GO LETTERING,BE-TOYO-301217,Oplot Battalion,44,Somali Battalion,43,Vostok Battalion,43,GEOPOLITICA,43,NEW EASTERN OUTLK,41
CARREFOUR BELGIUM NVSA,BE-TOYO-303920,Chernomorneftegaz,41,Zarya Battalion,38,Russian Direct Investment Fund,38,Federativnoye Gosudarstvo Novorossiya,37,Sparta Battalion,37
NLG,BE-TOYO-305421,Integral,36,United Shipbuilding,27,Sobol,25,Cossack National Guard,24,Industrial Savings Bank,23
WILLIS TOWERS WATSON NV SA,BE-TOYO-303961,Cossack National Guard,42,Federal State of Novorossiya,41,Russian National Commercial Bank,41,First Crimean Insurance,41,Feodosia Enterprise of oil,38
LA HAGOULLE,BE-TOYO-305425,Almaz Antey,45,So called Luhansk Guard,41,So called Lugansk Guard,41,Army of the Southeast,38,Army of the South East,36
GEVERS PARTNERS,BE-TOYO-301239,Smert Battalion,40,Sparta Battalion,39,Vostok Battalion,39,Federativnoye Gosudarstvo Novorossiya,38,Russia Bank,38
AXA BELGIUM,BE-TOYO-305433,Zarya Battalion,46,Sparta Battalion,44,Kalmius Battalion,43,Death Battalion,38,CB IS Bank,38
LAURTY SPRL BVBA,BE-TOYO-303976,Sparta Battalion,44,Sparkling Wine Plant Novy Svet,43,Fedosia Oil Products Supply,42,Almaz Antey Defense,40,Concern Almaz Antey,40
INNOTEC AUTO MOTIVE,BE-TOYO-301279,Z Interautomatica,61,Interavtomatika,59,Z Interavtomatika IA,51,Bank Otkritie Financial,48,Mostotrest Mostotrest,45
ESSEC TELECOM CENTER,BE-TOYO-305434,NEW EASTERN OUTLK,49,Internet Research Agency,45,Feodosia Enterprise of oil,43,State enterprise Universal Avia,43,VO Technopromexport,41
KLUWER EDITORIAL,BE-CS-17,ORIENTAL REVIEW,45,Kalmius Battalion,42,Otkritie,42,Sberbank of Russia,41,Smert Battalion,39
C C EQUMENT NVSA,BE-TOYO-305437,First Crimean Insurance,46,Russian Direct Investment Fund,43,Movement Novorossiya of Igor Strelkov,42,Movement Novorossiya of Ignor Strelkov,41,State enterprise Universal Avia,38
JETTE CLEAN,BE-TOYO-301301,Almaz Antey,45,Chernomorneftegaz,43,NEW EASTERN OUTLK,43,VTB Bank,42,The Great Don Army,41
M SCIENCE,BE-TOYO-304188,Mir Luganschine,50,First Crimean Insurance,44,Concern Almaz Antey,43,Tactical Missiles,38,Almaz Antey Defense,36
FSMA,BE-TOYO-304194,SOVCOMBANK,43,Sovkombank,43,IS Bank,36,Bank of Russia,33,Sberbank,33
CARROSSERIE BOGEMANS,BE-TOYO-305448,Bank Rossiya,56,Russia Bank,52,Bank of Russia,47,Bank Otkritie Financial,47,Aktsionernoe Obshchestvo Genbank,46
ADVANCED BUSINESS SYSTEM INTEGRATIO,BE-TOYO-301413,The Great Don Army,42,Black Sea Bank Development and Reconstruction,42,Black Sea Bank of Development and Reconstruction,41,State Enterprise Magarach of the National Institute of Wine,40,Z Interavtomatika IA,40
OUTCOME SPRL BVBA,BE-TOYO-304238,VO Technopromexport,44,CB IS Bank,44,SOVCOMBANK,44,O VO Technopromexport,42,Sparta Battalion,42
TRI FINANCE,BE-TOYO-305456,First Crimean Insurance,59,Bank Otkritie Financial,59,Otkritie,53,CB IS Bank,48,Industrial Savings Bank,47
SIRIUS INSIGHT,BE-TOYO-301419,Industrial Savings Bank,43,Mir Luganschine,41,Prizrak Battalion Ghost Brigade,40,Kalmius Battalion,39,Prizrak Battalion Ghost Battalion,38
FUSIONIT,BE-TOYO-305464,Unit 08806,44,Mir Luganschine,43,United Aircraft,43,Russia Bank,42,Kalmius Battalion,40
NOLMANS CRNEN ADVOCATEN,BE-TOYO-304299,NEW EASTERN OUTLK,45,Luhansk Economic Union,44,Foreign Economic Association Technopromexport,44,So called Luhansk Guard,43,So called Lugansk Guard,43
NASSOGNE ADM COMM,BE-TOYO-301459,Russian National Commercial Bank,49,Free Donbass,48,Svobodny Donbass,48,Free Donbas,43,25 January Committee,43
PAPETERIES A WEGNEZ FILS,BE-CS-241,State Enterprise Sparkling Wine Plant Novy Svet,45,Feodosia Enterprise of oil,44,Peace To Luhansk Region,43,Bank Otkritie Financial,43,Z Interavtomatika IA,41
ACTION MAKER,BE-TOYO-305479,Smert Battalion,67,Zarya Battalion,59,Somali Battalion,57,Sparta Battalion,57,Cossack National Guard,53
ANN VERREZEN,BE-TOYO-304366,Internet Research Agency,44,Free Donbas,43,Industrialny Sberegatelny Bank,43,Free Donbass,42,ROSNEFT AERO,42
EUROTAX,BE-TOYO-300017,Rostec,46,Interavtomatika,45,GEOPOLITICA,44,Chernomorneftegaz,42,Z Interautomatica,42
BANANAS BELGIUM,BE-TOYO-305496,VTB Bank Public,47,Kalmius Battalion,44,Cossack National Guard,43,VTB Bank,43,Bank Otkritie Financial,42
SD DIENSTEN,BE-TOYO-301488,Svobodny Donbass,44,NEW EASTERN OUTLK,43,Integral,42,First Crimean Insurance,41,Almaz Antey Defense,40
A M,BE-TOYO-305501,IS Bank,40,VTB Bank,36,Smert Battalion,33,Mir Luganschine,33,UAC,33
GARAGE PLATTES,BE-TOYO-304409,The Great Don Army,50,Almaz Antey,48,Zarya Battalion,48,Sparta Battalion,47,558 Aircraft Repair Plant,46
EDUCAM SERVICE,BE-TOYO-305503,ORIENTAL REVIEW,48,NEW EASTERN OUTLK,39,Federal State of Novorossiya,38,Industrial Savings Bank,38,Sberbank of Russia,38
FEBIAC ASBL,BE-TOYO-300021,Sberbank,53,Free Donbas,45,Free Donbass,43,Fedosia Oil Products Supply,42,Sberbank of Russia,41
SNAP ON BUSINESS SOLUTIONS,BE-TOYO-301820,Army of the Southeast,47,Army of the South East,46,Somali Battalion,43,Cossack National Guard,42,Luhansk Economic Union,42
NEW JEV SCREEN,BE-TOYO-304421,Internet Research Agency,42,Vneshekonombank,41,NEW EASTERN OUTLK,39,The Great Don Army,38,ROSNEFT AERO,38
AIDE ET SOINS A DOMICILE,BE-TOYO-305506,Russian National Commercial Bank,46,Luhansk Economic Union,43,State Enterprise Sevastopol Commercial Seaport,43,Bank Otkritie Financial,43,Concern Almaz Antey,42
AUTO GLAS CENTER,BE-TOYO-305516,Almaz Antey,44,Battalion Gvardeysky,44,Integral,42,The Great Don Army,41,Almaz Antey Defense,40
RECREATIO,BE-TOYO-304449,The Great Don Army,44,VO Technopromexport,43,Death Battalion,42,Smert Battalion,42,Zarya Battalion,42
L AIR LIQUIDE BELGE,BE-TOYO-300055,Almaz Antey Defense,42,ZELENODOLSK SHYARD,38,People s Union,36,Prizrak Battalion Ghost Brigade,36,Mir Luganschine,35
BRUS ENGL PRIMARY SCHLSPRL,BE-TOYO-301898,Lenpromtransproyekt,40,Luganskaya Narodnaya Respublika LNR,39,Prizrak Brigade,39,State Enterprise Sevastopol Commercial Seaport,39,Russian National Commercial Bank,38
E M CREATIONS,BE-TOYO-304451,The Great Don Army,52,Smert Battalion,50,First Crimean Insurance,50,Somali Battalion,48,Army of the South East,46
AVIXI SOCIAAL VERZEKERINGSFONDS,BE-TOYO-305517,Industrial Savings Bank,41,Feodosia Enterprise of oil,39,Russian National Commercial Bank,38,Somali Battalion,38,Crimean Republican Enterprise Azov Distillery Plant,37
PANASONIC BELGIUM,BE-TOYO-304460,Luhansk Economic Union,46,Concern Almaz Antey,44,Mir Luganschine,44,Somali Battalion,42,Sparta Battalion,42
BG RETAIL,BE-TOYO-301900,Dobrolet,47,Integral,47,Bank Otkritie Financial,44,Oplot Battalion,42,Prizrak Brigade,42
BRUSSELS EXPO ASBL,BE-TOYO-300095,Free Donbas,41,Russia Bank,41,Donbass People s Militia,38,So called Donetsk People s Republic,38,So called Lugansk People s Republic,38
ETALAGE TEAM,BE-TOYO-304485,Almaz Antey,52,Concern Almaz Antey,45,Death Battalion,44,ORIENTAL REVIEW,44,Sparta Battalion,43
VALORLUB,BE-TOYO-305527,Kalmius Battalion,40,Bank of Russia,36,VTB,36,Smert Battalion,35,Oplot Battalion,35
TECHNO BURO NVSA,BE-TOYO-304501,Rostec,55,VO Technopromexport,46,Federativnoye Gosudarstvo Novorossiya,45,Vostok Battalion,44,O VO Technopromexport,43
DHL TRADE FAIRS EVENTS,BE-TOYO-301940,First Crimean Insurance,49,Almaz Antey Defense,44,Free Donbas,42,State enterprise Universal Avia,42,Black Sea Bank for Development and Reconstruction,42
MEDIAEDGE CIA NVSA,BE-TOYO-305535,State enterprise Universal Avia,45,So called Luhansk Guard,44,So called Lugansk Guard,44,Federal State of Novorossiya,43,Almaz Antey Defense,43
XEROX BELGIUM,BE-TOYO-300102,Smert Battalion,43,Death Battalion,36,Oplot Battalion,36,Zarya Battalion,36,Donetsk Republic,34
BROUWERIJ KERKOM,BE-TOYO-304515,ROSNEFT AERO,43.75,Bulwark,43,Sberbank Public Sberbank,40,Prizrak Brigade,39,VO Technopromexport,34
SUEZ R R BE SERVICES,BE-TOYO-305538,Internet Research Agency,41,ORIENTAL REVIEW,40,Separate Artillery Brigade of the 1st Army Corps,38,NEW EASTERN OUTLK,38,Industrial Savings Bank,37
BEBAT,BE-TOYO-304539,Sberbank,62,Genbank,50,Dobrolet,46,VTB Bank,46,Death Battalion,40
ARVAL BELGIUM,BE-TOYO-302017,Kalmius Battalion,47,ORIENTAL REVIEW,43,Somali Battalion,41,Zaliv Shipyard,37,Industrialny Sberegatelny Bank,37
RENTOKIL,BE-TOYO-300105,ORIENTAL REVIEW,43,Genbank,40,IS Bank,40,ROSNEFT AERO,40,Dobrolet,38
SAFARAUTO,BE-TOYO-304558,Sparta Battalion,48,Cossack National Guard,45,Zarya Battalion,42,Almaz Antey,40,Somali Battalion,40
TORO GCV,BE-TOYO-305540,Rostec,43,Mostotrest P,40,Dobrolet,38,O VO TPE,38,Battalion Gvardeysky,36
G CONTACT SOLUTIONS,BE-TOYO-304625,Cossack National Guard,54,Luhansk Economic Union,49,Svobodny Donbass,46,Army of the Southeast,45,Army of the South East,44
ANTALIS,BE-TOYO-302023,IS Bank,57,Smert Battalion,55,Integral,53,Somali Battalion,52,Sparta Battalion,52
ING EQUMENT LEASE BELGIUM,BE-TOYO-305559,Feodosia Enterprise of oil,39,State enterprise Universal Avia,39,So called Luhansk Guard,38,So called Lugansk Guard,38,First Crimean Insurance,38
IKEA BELGIUM,BE-TOYO-304636,Death Battalion,44,ORIENTAL REVIEW,44,GEOPOLITICA,43,Integral,40,United Shipbuilding,39
AGA INTERNATIONAL,BE-TOYO-305563,Cossack National Guard,62,Z Interavtomatika IA,59,Z Interautomatica,59,Interavtomatika,56,Integral,56
SABAM,BE-TOYO-300114,Russia Bank,50,IS Bank,50,Sberbank,46,Promsvyazbank,44,Sobol,40
LA POSTE,BE-TOYO-302041,Rostec,57,Almaz Antey,53,ROSNEFT AERO,50,Mostotrest,44,VO TPE,43
ASTREA,BE-TOYO-304672,Mostotrest,50,Rostec,50,Free Donbas,47,Free Donbass,44,TPE,44
ACCESSIT,BE-TOYO-305564,Tactical Missiles,48,Russia Bank,42,Bank Rossiya,40,ROSNEFT AERO,40,Bank of Russia,36
UNION BELGE DES ANNONCEURS ASBL,BE-TOYO-300123,People s Union,49,United Aircraft,43,So called Donetsk People s Republic,39,State enterprise Universal Avia,39,Federal United Enterprise Crimea Railway,39
IKANBI IT EUROPE,BE-TOYO-302125,People s Union,47,ROSNEFT AERO,43,Peace To Luhansk Region,41,First Crimean Insurance,41,25 January Committee,39
AUTO LOCATION TOUTES ETUDES,BE-TOYO-305570,Mostotrest Mostotrest,50,State Concern National Association of producers Massandra,45,Peace To Luhansk Region,44,Almaz Antey Defense,43,Army of the Southeast,42
HAPPINESS BRUSSELS,BE-TOYO-304729,Bank of Russia,44,Russia Bank,41,Tactical Missiles,40,Donbas People s Militia,39,Industrial Savings Bank,39
ROUTAGE BARBIER,BE-TOYO-305578,ROSNEFT AERO,52,Russia Bank,46,Sparta Battalion,45,Army of the Southeast,44,Bank Rossiya,44
IMAGIBRAINE,BE-TOYO-302145,Somali Battalion,52,First Crimean Insurance,47,Prizrak Brigade,46,Almaz Antey,45,Russia Bank,45
ZETES ELECTRONICS,BE-TOYO-300158,Free Donbas,43,Free Donbass,41,Luhansk Economic Union,41,Z Interautomatica,41,ROSNEFT AERO,41
MODIX,BE-TOYO-305583,RDIF,44,Otkritie,31,Mostotrest,27,GEOPOLITICA,25,Mostotrest P,24
JACO,BE-TOYO-305596,UAC,57,25 January Committee,33,CB IS Bank,29,USC,29,SOVCOMBANK,29
,BE-TOYO-304733,Federal State Budget Institution for Science and Research All Russia National Scientific Research Institute for Wine Growing and Wine Making MAGARACH Russian Academy of Sciences,0,Gosudarstvenoye predpriyatiye Agrofirma Magarach nacionalnogo instituta vinograda i vina Magarach,0,State Enterprise Magarach of the National Institute of Wine,0,State Unitary Enterprise of the Republic of Crimea National Institute of Wine Magarach,0,Institute Giprostroymost Saint Petersburg,0
ARTEEL Y,BE-TOYO-302160,VO TPE,43,Rostec,43,Free Donbas,42,Almaz Antey,42,Free Donbass,40
EGYLIS,BE-TOYO-305603,Integral,43,GEOPOLITICA,35,IS Bank,31,Zaliv Shipyard,30,People s Union,30
SERVICE PUBLIC FEDERAL MOBILITE,BE-TOYO-300193,Sberbank Public Sberbank,51,Crimean Republican Enterprise Azov Distillery Plant,44,VTB Bank Public,43,So called Donetsk People s Republic,42,So called Lugansk People s Republic,42
REGUS BRAINE L ALLEUD,BE-TOYO-304773,So called Donetsk People s Republic,54,So called Lugansk People s Republic,54,So called Luhansk Guard,50,So called Lugansk Guard,50,Russia Bank,44
WIJNHUIS BOLLAERT,BE-TOYO-305605,IS Bank,42,Dobrolet,40,Industrial Savings Bank,40,People s Union,39,Sparkling Wine Plant Novy Svet,38
BAMBINI,BE-TOYO-304799,CB IS Bank,47,Genbank,43,IS Bank,43,VTB Bank,40,Sberbank,40
HILTON ANTWERP,BE-TOYO-302161,Almaz Antey,48,Integral,45,The Great Don Army,44,Concern Almaz Antey,42,Z Interavtomatika IA,41
PRODUCTIONS ASSOCIEES ASBL,BE-TOYO-305626,Donbass People s Militia,44,Cossack National Guard,42,Fedosia Oil Products Supply,42,Tactical Missiles,42,Research and Production Corporation UralVagonZavod,42
BCC CORPORATE,BE-TOYO-304801,VO Technopromexport,44,O VO Technopromexport,41,The Great Don Army,39,Bank Otkritie Financial,39,Concern Almaz Antey,38
METALCED,BE-TOYO-300194,Smert Battalion,43,ORIENTAL REVIEW,43,Tactical Missiles,40,ROSNEFT AERO,40,First Crimean Insurance,39
STHREE BELGIUM,BE-TOYO-305629,Mostotrest,42,Death Battalion,41,Smert Battalion,41,ORIENTAL REVIEW,41,Army of the Southeast,40
NESPRESSO BELGIQUE NVSA,BE-TOYO-304860,Federal State of Novorossiya,43,Federativnoye Gosudarstvo Novorossiya,43,Donetsk Republic,41,Sparta Battalion,41,State enterprise Universal Avia,41
VAL I PAC,BE-TOYO-302165,Zaliv Shipyard,52,O VO TPE,47,Tactical Missiles,46,CB IS Bank,42,VTB Bank Public,42
ALL AUTOMOTIVE CONSULTING,BE-TOYO-305631,Concern Almaz Antey,50,Z Interautomatica,43,Federal State of Novorossiya,42,Almaz Antey Defense,41,Z Interavtomatika IA,40
SANIVEST,BE-TOYO-300199,IS Bank,53,VTB Bank,50,Mostotrest,44,CB IS Bank,44,VTB Bank Public,43
BRAIN4YOU,BE-TOYO-305657,Sberbank,47,Narodny Soyuz,45,Dobrolyot,44,Oplot Battalion,42,Somali Battalion,40
AUVICOM,BE-TOYO-304915,SOVCOMBANK,47,UAC,40,USC,40,25 January Committee,37,Smert Battalion,36
ATHLON CAR LEASE BELGIUM,BE-TOYO-302204,Battalion Gvardeysky,50,Kalmius Battalion,49,So called Luhansk Guard,47,So called Lugansk Guard,47,Zarya Battalion,46
V TECTEO,BE-TOYO-305659,VO TPE,57,O VO TPE,50,VO Technopromexport,44,Rostec,43,Vostok Battalion,42
